state,year,population,source_file,metric_name,measure_type,metric_value
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,naturalizations,per_million,504.943
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,naturalizations,per_million_rank,48.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,naturalizations,rank,37.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,naturalizations,total,2470.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million,349.655
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million_rank,47.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,new_arrivals,rank,37.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,new_arrivals,total,1710.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million,36538.596
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million_rank,44.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,nonimmigrants,rank,33.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,nonimmigrants,total,178590.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,refugees,per_million,6.138
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,refugees,per_million_rank,45.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,refugees,rank,44.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,refugees,total,30.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,adjustments,per_million,450.523
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,adjustments,per_million_rank,48.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,adjustments,rank,35.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,adjustments,total,2210.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,asylees,per_million,8.362
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,asylees,per_million_rank,49.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,asylees,rank,40.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,asylees,total,40.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million,748.289
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million_rank,48.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,rank,36.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,total,3670.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,naturalizations,per_million,608.176
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,naturalizations,per_million_rank,47.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,naturalizations,rank,36.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,naturalizations,total,2980.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million,297.766
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million_rank,48.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,new_arrivals,rank,37.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,new_arrivals,total,1460.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million,38204.351
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million_rank,44.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,nonimmigrants,rank,33.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,nonimmigrants,total,187320.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,refugees,per_million,4.283
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,refugees,per_million_rank,45.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,refugees,rank,44.0
Alabama,2019,4903185,state_data_2013-2023_20250514_3.csv,refugees,total,20.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,adjustments,per_million,389.224
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,adjustments,per_million_rank,46.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,adjustments,rank,32.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,adjustments,total,1960.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,asylees,per_million,2.98
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,asylees,per_million_rank,52.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,asylees,rank,46.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,asylees,total,20.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million,564.861
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million_rank,46.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,rank,33.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,total,2840.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,naturalizations,per_million,693.41
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,naturalizations,per_million_rank,40.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,naturalizations,rank,29.0
Alabama,2020,5033094,state_data_2013-2023_20250514_3.csv,naturalizations,total,3490.0
